Array Size,Insertion Sort,Quick Sort,Heap Sort,Radix Sort
100,5608,5997,6911,25721
900,66092,45951,54296,105476
1700,229614,89941,108775,187577
2500,444346,127574,156113,216064
3300,768298,172571,212216,237350
4100,1150553,210853,261997,282226
4900,1641615,256786,318625,335073
5700,,312359,389437,410536
6500,,358426,445913,462650
7300,,426583,535509,540347
8100,,494389,632247,629814
8900,,538423,680868,669557
9700,,597208,760583,721847
